season_year,date,tmin,tmax,tavg,rain,chill_day,forcing_day,sun_hours_day,chill_accum,forcing_accum,frost_flag,heat_flag,rain_flag,no_bee_flight,precip_accum,temp_accum,sun_hours_accum
1985,1984-11-01,8.2,12.5,11.070833333333333,10.7,0,24,0,0,24,0,0,2,1,10.7,11.070833333333333,0
1985,1984-11-02,5.5,9.2,7.429166666666667,1.3,9,24,4,9,48,0,0,1,1,12.0,18.5,4
1985,1984-11-03,5.0,9.0,6.6625000000000005,1.7000000000000002,13,24,5,22,72,0,0,1,1,13.7,25.1625,9
1985,1984-11-04,3.3,8.4,6.125,2.3,17,23,6,39,95,0,0,1,1,16.0,31.2875,15
1985,1984-11-05,1.1,6.0,3.4375,0.1,24,9,5,63,104,0,0,0,0,16.099999999999998,34.725,20
1985,1984-11-06,0.9,6.2,3.6208333333333336,2.1,24,16,3,87,120,0,0,1,1,18.2,38.34583333333333,23
1985,1984-11-07,3.5,9.0,6.270833333333333,4.9,12,24,0,99,144,0,0,1,1,23.1,44.61666666666667,23
1985,1984-11-08,8.3,10.6,9.620833333333334,13.5,0,24,0,99,168,0,0,2,1,36.6,54.2375,23
1985,1984-11-09,6.6,11.3,8.9125,0.0,5,24,5,104,192,0,0,0,0,36.6,63.15,28
1985,1984-11-10,6.0,9.6,7.5,0.0,11,24,3,115,216,0,0,0,0,36.6,70.65,31
1985,1984-11-11,8.2,11.1,9.954166666666667,18.3,0,24,0,115,240,0,0,2,1,54.9,80.60416666666667,31
1985,1984-11-12,4.3,9.4,7.1875,1.5,11,24,5,126,264,0,0,1,1,56.4,87.79166666666667,36
1985,1984-11-13,2.4,9.3,5.795833333333333,3.0,13,16,6,139,280,0,0,1,1,59.4,93.5875,42
1985,1984-11-14,3.0,6.0,4.633333333333334,0.0,24,22,0,163,302,0,0,0,0,59.4,98.22083333333333,42
1985,1984-11-15,-0.2,4.2,2.129166666666667,0.0,22,4,5,185,306,0,0,0,0,59.4,100.35000000000001,47
1985,1984-11-16,1.4,7.6,3.766666666666667,0.0,21,10,5,206,316,0,0,0,0,59.4,104.11666666666667,52
1985,1984-11-17,1.9,6.1,4.0625,0.1,24,13,0,230,329,0,0,0,0,59.5,108.17916666666667,52
1985,1984-11-18,4.4,7.1,5.533333333333334,0.0,22,24,0,252,353,0,0,0,0,59.5,113.7125,52
1985,1984-11-19,2.2,6.8,4.295833333333333,0.0,24,15,4,276,368,0,0,0,0,59.5,118.00833333333334,56
1985,1984-11-20,4.1,6.1,5.0375000000000005,9.6,24,24,0,300,392,0,0,2,1,69.1,123.04583333333333,56
1985,1984-11-21,5.6,11.1,7.55,11.9,11,24,0,311,416,0,0,2,1,81.0,130.59583333333333,56
1985,1984-11-22,6.0,8.7,7.254166666666666,0.4,8,24,4,319,440,0,0,0,0,81.39999999999999,137.85,60
1985,1984-11-23,6.2,9.5,7.645833333333333,0.2,7,24,4,326,464,0,0,0,0,81.6,145.49583333333334,64
1985,1984-11-24,5.7,7.9,6.616666666666667,0.0,18,24,4,344,488,0,0,0,0,81.6,152.1125,68
1985,1984-11-25,3.8,7.6,5.654166666666666,0.1,21,24,4,365,512,0,0,0,0,81.7,157.76666666666668,72
1985,1984-11-26,2.1,7.5,4.345833333333333,0.2,22,15,4,387,527,0,0,0,0,81.89999999999999,162.1125,76
1985,1984-11-27,7.5,10.6,8.845833333333333,12.299999999999999,0,24,0,387,551,0,0,2,1,94.2,170.95833333333334,76
1985,1984-11-28,5.6,7.8,6.6625000000000005,0.2,18,24,4,405,575,0,0,0,0,94.39999999999999,177.62083333333334,80
1985,1984-11-29,5.9,11.0,8.858333333333333,0.0,6,24,2,411,599,0,0,0,0,94.39999999999999,186.47916666666666,82
1985,1984-11-30,4.2,11.6,9.604166666666666,9.3,3,24,0,414,623,0,0,2,1,103.7,196.08333333333334,82
1985,1984-12-01,1.2,4.6,3.095833333333333,0.0,24,10,0,438,633,0,0,0,0,103.7,199.17916666666667,82
1985,1984-12-02,-2.0,2.7,0.4583333333333333,0.0,14,0,4,452,633,0,0,0,0,103.7,199.6375,86
1985,1984-12-03,3.5,8.7,7.208333333333333,8.0,9,24,0,461,657,0,0,2,1,111.7,206.84583333333333,86
1985,1984-12-04,2.3,9.8,6.3500000000000005,11.4,14,21,0,475,678,0,0,2,1,123.1,213.19583333333333,86
1985,1984-12-05,4.1,9.4,6.170833333333333,5.8,20,24,0,495,702,0,0,2,1,128.9,219.36666666666667,86
1985,1984-12-06,1.9,9.2,4.75,0.5,19,16,4,514,718,0,0,0,0,129.4,224.11666666666667,90
1985,1984-12-07,9.5,11.5,10.554166666666667,0.1,0,24,0,514,742,0,0,0,0,129.5,234.67083333333335,90
1985,1984-12-08,2.9,9.2,6.8500000000000005,3.5,9,21,0,523,763,0,0,1,1,133.0,241.52083333333334,90
1985,1984-12-09,1.9,6.8,4.320833333333334,0.0,24,14,0,547,777,0,0,0,0,133.0,245.84166666666667,90
1985,1984-12-10,5.8,8.3,6.841666666666666,0.0,19,24,3,566,801,0,0,0,0,133.0,252.68333333333334,93
1985,1984-12-11,4.5,7.7,6.375,0.0,20,24,0,586,825,0,0,0,0,133.0,259.05833333333334,93
1985,1984-12-12,5.7,8.1,6.766666666666667,0.0,17,24,0,603,849,0,0,0,0,133.0,265.825,93
1985,1984-12-13,6.8,8.1,7.558333333333334,0.2,6,24,0,609,873,0,0,0,0,133.2,273.3833333333333,93
1985,1984-12-14,5.2,7.8,6.0625,17.9,21,24,0,630,897,0,0,2,1,151.1,279.4458333333333,93
1985,1984-12-15,4.7,6.1,5.2875000000000005,2.0,24,24,0,654,921,0,0,1,1,153.1,284.73333333333335,93
1985,1984-12-16,3.8,5.1,4.429166666666666,0.0,24,24,1,678,945,0,0,0,0,153.1,289.1625,94
1985,1984-12-17,0.6,6.6,3.4916666666666667,8.3,24,9,3,702,954,0,0,2,1,161.4,292.65416666666664,97
