season_year,date,tmin,tmax,tavg,rain,chill_day,forcing_day,sun_hours_day,chill_accum,forcing_accum,frost_flag,heat_flag,rain_flag,no_bee_flight,precip_accum,temp_accum,sun_hours_accum
1985,1984-11-01,12.1,15.4,13.516666666666666,3.0,0,24,3,0,24,0,0,1,1,3.0,13.516666666666666,3
1985,1984-11-02,6.3,13.5,9.904166666666667,19.5,7,24,0,7,48,0,0,2,1,22.5,23.420833333333334,3
1985,1984-11-03,4.8,9.2,6.829166666666667,0.0,15,24,6,22,72,0,0,0,0,22.5,30.25,9
1985,1984-11-04,4.0,9.9,6.558333333333334,0.0,15,24,4,37,96,0,0,0,0,22.5,36.80833333333333,13
1985,1984-11-05,4.1,7.1,5.4125000000000005,0.0,23,24,3,60,120,0,0,0,0,22.5,42.22083333333333,16
1985,1984-11-06,4.1,7.3,5.858333333333333,2.4,18,24,0,78,144,0,0,1,1,24.9,48.079166666666666,16
1985,1984-11-07,7.2,11.8,9.549999999999999,0.2,0,24,0,78,168,0,0,0,0,25.1,57.62916666666666,16
1985,1984-11-08,8.9,12.6,10.566666666666666,18.9,0,24,0,78,192,0,0,2,1,44.0,68.19583333333333,16
1985,1984-11-09,4.1,10.1,7.633333333333333,9.5,8,24,0,86,216,0,0,2,1,53.5,75.82916666666667,16
1985,1984-11-10,4.6,12.2,8.970833333333333,0.0,4,24,6,90,240,0,0,0,0,53.5,84.8,22
1985,1984-11-11,7.4,12.0,10.0,1.0,0,24,0,90,264,0,0,1,1,54.5,94.8,22
1985,1984-11-12,6.7,12.0,9.725,11.5,1,24,0,91,288,0,0,2,1,66.0,104.525,22
1985,1984-11-13,3.9,9.2,6.825,0.1,11,24,6,102,312,0,0,0,0,66.1,111.35,28
1985,1984-11-14,3.5,8.8,7.0249999999999995,2.2,7,24,0,109,336,0,0,1,1,68.3,118.375,28
1985,1984-11-15,-0.1,4.6,2.154166666666667,0.0,22,5,4,131,341,0,0,0,0,68.3,120.52916666666667,32
1985,1984-11-16,1.3,5.3,3.095833333333333,0.0,24,9,5,155,350,0,0,0,0,68.3,123.625,37
1985,1984-11-17,4.4,6.9,5.708333333333333,0.0,24,24,0,179,374,0,0,0,0,68.3,129.33333333333334,37
1985,1984-11-18,3.7,6.7,4.95,0.0,24,24,3,203,398,0,0,0,0,68.3,134.28333333333333,40
1985,1984-11-19,2.9,8.2,4.845833333333333,0.0,21,22,5,224,420,0,0,0,0,68.3,139.12916666666666,45
1985,1984-11-20,2.2,9.8,6.104166666666667,4.6000000000000005,11,19,3,235,439,0,0,1,1,72.9,145.23333333333332,48
1985,1984-11-21,6.5,11.1,8.700000000000001,4.1,7,24,4,242,463,0,0,1,1,77.0,153.93333333333334,52
1985,1984-11-22,8.8,11.8,10.2875,17.2,0,24,0,242,487,0,0,2,1,94.2,164.22083333333333,52
1985,1984-11-23,7.7,11.3,9.291666666666666,8.799999999999999,0,24,2,242,511,0,0,2,1,103.0,173.5125,54
1985,1984-11-24,6.8,9.6,7.808333333333334,0.6000000000000001,4,24,4,246,535,0,0,0,0,103.6,181.32083333333333,58
1985,1984-11-25,3.6,9.4,6.291666666666667,0.0,18,24,5,264,559,0,0,0,0,103.6,187.6125,63
1985,1984-11-26,1.7,7.6,3.8833333333333333,0.0,21,10,6,285,569,0,0,0,0,103.6,191.49583333333334,69
1985,1984-11-27,4.9,11.3,8.975,1.9,4,24,2,289,593,0,0,1,1,105.5,200.47083333333333,71
1985,1984-11-28,7.2,10.5,8.862499999999999,1.6,0,24,3,289,617,0,0,1,1,107.1,209.33333333333334,74
1985,1984-11-29,8.3,11.1,9.745833333333334,0.6000000000000001,0,24,2,289,641,0,0,0,0,107.7,219.07916666666665,76
1985,1984-11-30,7.1,11.5,9.7125,1.0,0,24,2,289,665,0,0,1,1,108.7,228.79166666666666,78
1985,1984-12-01,5.2,8.7,7.245833333333334,12.2,9,24,0,298,689,0,0,2,1,120.9,236.0375,78
1985,1984-12-02,4.1,7.0,5.925,1.9,24,24,0,322,713,0,0,1,1,122.8,241.9625,78
1985,1984-12-03,3.7,9.4,6.9750000000000005,6.2,10,24,0,332,737,0,0,2,1,129.0,248.9375,78
1985,1984-12-04,6.0,9.4,7.95,0.0,4,24,2,336,761,0,0,0,0,129.0,256.8875,80
1985,1984-12-05,8.2,11.5,9.7875,2.1,0,24,1,336,785,0,0,1,1,131.1,266.675,81
1985,1984-12-06,3.1,8.2,5.854166666666667,0.1,18,22,4,354,807,0,0,0,0,131.2,272.52916666666664,85
1985,1984-12-07,4.5,10.1,7.5,0.0,9,24,4,363,831,0,0,0,0,131.2,280.02916666666664,89
1985,1984-12-08,3.4,7.9,5.55,0.2,19,23,3,382,854,0,0,0,0,131.4,285.57916666666665,92
1985,1984-12-09,0.9,7.2,4.0249999999999995,0.0,23,12,4,405,866,0,0,0,0,131.4,289.6041666666667,96
1985,1984-12-10,0.7,8.7,3.904166666666667,0.0,20,9,4,425,875,0,0,0,0,131.4,293.5083333333333,100
1985,1984-12-11,-1.8,3.0,1.2541666666666667,0.0,18,0,0,443,875,0,0,0,0,131.4,294.7625,100
1985,1984-12-12,2.4,5.6,4.233333333333333,0.0,24,18,0,467,893,0,0,0,0,131.4,298.99583333333334,100
1985,1984-12-13,3.8,6.7,5.2625,7.6,24,24,0,491,917,0,0,2,1,139.0,304.2583333333333,100
1985,1984-12-14,2.0,7.3,5.316666666666666,2.1,22,20,0,513,937,0,0,1,1,141.1,309.575,100
1985,1984-12-15,0.7,5.6,2.7083333333333335,2.4,24,7,3,537,944,0,0,1,1,143.5,312.28333333333336,103
1985,1984-12-16,0.3,4.6,2.966666666666667,0.9,24,9,1,561,953,0,0,0,0,144.4,315.25,104
1985,1984-12-17,0.3,7.6,3.4416666666666664,1.4,23,10,0,584,963,0,0,1,1,145.8,318.69166666666666,104
1985,1984-12-18,-1.3,5.0,2.025,1.5,16,12,3,600,975,0,0,1,1,147.3,320.71666666666664,107
1985,1984-12-19,4.9,10.1,8.054166666666667,2.8,3,24,4,603,999,0,0,1,1,150.1,328.7708333333333,111
1985,1984-12-20,5.1,10.7,8.525,0.8,2,24,2,605,1023,0,0,0,0,150.9,337.29583333333335,113
1985,1984-12-21,2.4,6.5,4.0249999999999995,0.0,24,15,4,629,1038,0,0,0,0,150.9,341.3208333333333,117
1985,1984-12-22,4.5,10.4,7.3500000000000005,1.2,12,24,0,641,1062,0,0,1,1,152.1,348.67083333333335,117
1985,1984-12-23,10.0,11.8,10.825000000000001,0.0,0,24,0,641,1086,0,0,0,0,152.1,359.49583333333334,117
1985,1984-12-24,0.6,9.8,5.008333333333334,3.4000000000000004,18,17,3,659,1103,0,0,1,1,155.5,364.50416666666666,120
1985,1984-12-25,-0.6,7.9,3.2375000000000003,1.7,15,11,0,674,1114,0,0,1,1,157.2,367.7416666666667,120
1985,1984-12-26,-2.4,2.8,0.16249999999999998,0.7000000000000001,16,0,4,690,1114,1,0,0,0,157.9,367.9041666666667,124
1985,1984-12-27,-0.8,2.4,0.7166666666666667,2.1,18,0,2,708,1114,0,0,1,1,160.0,368.62083333333334,126
1985,1984-12-28,-1.3,4.9,1.2333333333333334,0.0,14,5,3,722,1119,0,0,0,0,160.0,369.8541666666667,129
1985,1984-12-29,-1.7,4.9,2.0541666666666667,6.3,17,11,0,739,1130,0,0,2,1,166.3,371.90833333333336,129
1985,1984-12-30,4.9,8.3,6.345833333333334,1.0,16,24,0,755,1154,0,0,1,1,167.3,378.25416666666666,129
1985,1984-12-31,3.7,8.7,6.770833333333333,0.0,9,24,3,764,1178,0,0,0,0,167.3,385.025,132
1985,1985-01-01,0.6,5.3,3.1208333333333336,0.0,24,7,5,788,1185,0,0,0,0,167.3,388.1458333333333,137
1985,1985-01-02,-1.1,3.9,1.0583333333333333,0.0,21,3,4,809,1188,0,0,0,0,167.3,389.20416666666665,141
1985,1985-01-03,-2.4,3.0,-0.17500000000000002,0.0,12,0,4,821,1188,1,0,0,0,167.3,389.0291666666667,145
1985,1985-01-04,-1.8,3.5,0.33749999999999997,0.0,12,1,4,833,1189,0,0,0,0,167.3,389.3666666666667,149
1985,1985-01-05,-4.1,0.0,-1.9541666666666666,0.1,1,0,4,834,1189,2,0,0,0,167.4,387.4125,153
1985,1985-01-06,-4.2,4.6,0.3166666666666666,0.0,14,5,5,848,1194,2,0,0,0,167.4,387.7291666666667,158
1985,1985-01-07,-4.1,-1.4,-2.9125,0.0,0,0,5,848,1194,2,0,0,0,167.4,384.81666666666666,163
1985,1985-01-08,-3.4,0.9,-1.9625000000000001,1.8,4,0,2,852,1194,1,0,1,1,169.2,382.8541666666667,165
1985,1985-01-09,-3.3,3.9,-0.3166666666666666,0.0,8,2,5,860,1196,1,0,0,0,169.2,382.5375,170
1985,1985-01-10,-2.9,3.3,-0.1791666666666666,0.0,9,0,4,869,1196,1,0,0,0,169.2,382.35833333333335,174
1985,1985-01-11,-4.7,2.1,-1.7416666666666665,0.0,6,0,5,875,1196,2,0,0,0,169.2,380.6166666666667,179
1985,1985-01-12,-2.5,0.8,-1.4291666666666665,0.0,3,0,4,878,1196,1,0,0,0,169.2,379.1875,183
1985,1985-01-13,-4.4,0.2,-1.2041666666666666,0.6000000000000001,7,0,0,885,1196,2,0,0,0,169.8,377.98333333333335,183
1985,1985-01-14,-5.9,0.2,-2.875,0.1,3,0,5,888,1196,2,0,0,0,169.9,375.10833333333335,188
1985,1985-01-15,-4.2,0.2,-1.8958333333333333,1.3,3,0,5,891,1196,2,0,1,1,171.2,373.2125,193
1985,1985-01-16,-6.0,-3.0,-4.5874999999999995,0.30000000000000004,0,0,4,891,1196,2,0,0,0,171.5,368.625,197
1985,1985-01-17,-7.8,-3.5,-5.458333333333333,1.2,0,0,4,891,1196,2,0,1,1,172.7,363.1666666666667,201
1985,1985-01-18,-3.1,-0.6,-1.4375,12.0,0,0,0,891,1196,1,0,2,1,184.7,361.7291666666667,201
1985,1985-01-19,-5.1,0.1,-1.4458333333333335,0.0,3,0,4,894,1196,2,0,0,0,184.7,360.28333333333336,205
1985,1985-01-20,-5.1,1.2,-1.0666666666666667,2.2,12,0,3,906,1196,2,0,1,1,186.9,359.2166666666667,208
1985,1985-01-21,1.1,7.6,5.254166666666666,10.6,20,19,0,926,1215,0,0,2,1,197.5,364.47083333333336,208
