season_year,date,tmin,tmax,tavg,rain,chill_day,forcing_day,sun_hours_day,chill_accum,forcing_accum,frost_flag,heat_flag,rain_flag,no_bee_flight,precip_accum,temp_accum,sun_hours_accum
1985,1984-11-01,12.3,15.9,13.8375,0.0,0,24,6,0,24,0,0,0,0,0.0,13.8375,6
1985,1984-11-02,11.2,15.8,13.354166666666666,3.0,0,24,7,0,48,0,0,1,1,3.0,27.191666666666666,13
1985,1984-11-03,5.7,10.4,7.991666666666667,0.0,8,24,7,8,72,0,0,0,0,3.0,35.18333333333334,20
1985,1984-11-04,4.4,9.9,6.933333333333334,0.0,15,24,7,23,96,0,0,0,0,3.0,42.11666666666667,27
1985,1984-11-05,4.1,9.4,6.908333333333334,0.0,10,24,5,33,120,0,0,0,0,3.0,49.025,32
1985,1984-11-06,7.6,11.7,9.25,9.0,0,24,3,33,144,0,0,2,1,12.0,58.275000000000006,35
1985,1984-11-07,8.4,12.3,10.158333333333333,0.5,0,24,5,33,168,0,0,0,0,12.5,68.43333333333334,40
1985,1984-11-08,9.5,15.0,11.970833333333333,3.7,0,24,4,33,192,0,0,1,1,16.2,80.40416666666667,44
1985,1984-11-09,10.4,14.2,12.583333333333334,10.4,0,24,2,33,216,0,0,2,1,26.6,92.9875,46
1985,1984-11-10,10.0,13.8,11.766666666666666,0.0,0,24,5,33,240,0,0,0,0,26.6,104.75416666666666,51
1985,1984-11-11,8.9,14.0,11.441666666666668,0.0,0,24,5,33,264,0,0,0,0,26.6,116.19583333333334,56
1985,1984-11-12,12.7,14.6,13.275,0.0,0,24,5,33,288,0,0,0,0,26.6,129.47083333333333,61
1985,1984-11-13,7.5,12.5,9.4375,4.8,0,24,4,33,312,0,0,1,1,31.400000000000002,138.90833333333333,65
1985,1984-11-14,7.2,10.3,9.308333333333334,6.7,0,24,0,33,336,0,0,2,1,38.1,148.21666666666667,65
1985,1984-11-15,3.5,8.2,5.804166666666667,0.0,18,24,6,51,360,0,0,0,0,38.1,154.02083333333334,71
1985,1984-11-16,3.6,8.2,6.3125,9.6,9,24,0,60,384,0,0,2,1,47.7,160.33333333333334,71
1985,1984-11-17,4.7,7.1,5.908333333333334,4.6,23,24,0,83,408,0,0,1,1,52.3,166.24166666666667,71
1985,1984-11-18,4.1,8.3,5.9750000000000005,0.0,16,24,4,99,432,0,0,0,0,52.3,172.21666666666667,75
