season_year,date,tmin,tmax,tavg,rain,chill_day,forcing_day,sun_hours_day,chill_accum,forcing_accum,frost_flag,heat_flag,rain_flag,no_bee_flight,precip_accum,temp_accum,sun_hours_accum
1985,1984-11-01,11.0,13.4,12.033333333333333,2.8,0,24,4,0,24,0,0,1,1,2.8,12.033333333333333,4
1985,1984-11-02,4.7,12.0,7.6125,19.6,12,24,0,12,48,0,0,2,1,22.400000000000002,19.645833333333332,4
1985,1984-11-03,3.8,7.4,5.4375,0.0,21,24,6,33,72,0,0,0,0,22.400000000000002,25.083333333333332,10
1985,1984-11-04,3.2,8.2,5.179166666666666,0.0,19,20,5,52,92,0,0,0,0,22.400000000000002,30.2625,15
1985,1984-11-05,2.8,5.3,3.9333333333333336,0.0,24,18,3,76,110,0,0,0,0,22.400000000000002,34.19583333333333,18
1985,1984-11-06,2.3,5.6,3.9125,2.3,24,14,1,100,124,0,0,1,1,24.700000000000003,38.108333333333334,19
1985,1984-11-07,5.6,9.9,7.95,0.6000000000000001,9,24,0,109,148,0,0,0,0,25.3,46.05833333333334,19
1985,1984-11-08,7.8,10.9,9.120833333333334,19.7,0,24,0,109,172,0,0,2,1,45.0,55.17916666666667,19
1985,1984-11-09,3.3,7.6,6.220833333333334,9.5,13,22,0,122,194,0,0,2,1,54.5,61.4,19
1985,1984-11-10,3.3,10.6,7.566666666666666,0.0,7,23,6,129,217,0,0,0,0,54.5,68.96666666666667,25
1985,1984-11-11,6.2,10.3,8.416666666666666,1.8,7,24,0,136,241,0,0,1,1,56.3,77.38333333333333,25
1985,1984-11-12,5.1,9.9,7.708333333333333,14.0,8,24,0,144,265,0,0,2,1,70.3,85.09166666666667,25
1985,1984-11-13,1.9,7.8,5.1875,0.0,19,18,6,163,283,0,0,0,0,70.3,90.27916666666667,31
1985,1984-11-14,1.5,6.5,5.141666666666667,7.6,24,19,1,187,302,0,0,2,1,77.9,95.42083333333333,32
1985,1984-11-15,-0.4,4.6,1.6166666666666665,0.0,21,4,5,208,306,0,0,0,0,77.9,97.0375,37
1985,1984-11-16,0.2,4.3,1.7291666666666667,0.0,24,3,5,232,309,0,0,0,0,77.9,98.76666666666667,42
1985,1984-11-17,2.8,5.6,3.975,0.0,24,14,0,256,323,0,0,0,0,77.9,102.74166666666666,42
1985,1984-11-18,2.5,5.3,3.525,0.0,24,9,4,280,332,0,0,0,0,77.9,106.26666666666667,46
1985,1984-11-19,0.0,6.5,3.0541666666666667,0.0,24,9,5,304,341,0,0,0,0,77.9,109.32083333333333,51
1985,1984-11-20,2.5,8.3,5.05,5.7,20,15,3,324,356,0,0,2,1,83.6,114.37083333333334,54
1985,1984-11-21,5.5,10.0,7.429166666666667,8.5,11,24,5,335,380,0,0,2,1,92.1,121.8,59
1985,1984-11-22,7.0,10.2,8.545833333333333,21.8,1,24,0,336,404,0,0,2,1,113.9,130.34583333333333,59
1985,1984-11-23,6.2,9.3,7.5375000000000005,12.9,9,24,1,345,428,0,0,2,1,126.8,137.88333333333333,60
1985,1984-11-24,5.6,8.0,6.233333333333333,2.3,20,24,4,365,452,0,0,1,1,129.1,144.11666666666667,64
1985,1984-11-25,3.4,7.6,5.2124999999999995,0.4,21,23,4,386,475,0,0,0,0,129.5,149.32916666666665,68
1985,1984-11-26,1.4,5.9,3.2708333333333335,0.0,24,8,6,410,483,0,0,0,0,129.5,152.6,74
1985,1984-11-27,4.6,9.3,7.566666666666666,4.3,10,24,2,420,507,0,0,1,1,133.8,160.16666666666666,76
1985,1984-11-28,6.0,8.3,7.245833333333334,3.2,10,24,3,430,531,0,0,1,1,137.0,167.4125,79
1985,1984-11-29,7.1,9.3,8.333333333333334,1.5,0,24,1,430,555,0,0,1,1,138.5,175.74583333333334,80
1985,1984-11-30,5.3,9.7,8.020833333333334,2.5,3,24,1,433,579,0,0,1,1,141.0,183.76666666666665,81
1985,1984-12-01,3.2,5.7,4.833333333333333,14.8,24,22,0,457,601,0,0,2,1,155.8,188.6,81
1985,1984-12-02,2.4,5.2,4.05,1.0,24,18,0,481,619,0,0,1,1,156.8,192.65,81
1985,1984-12-03,2.6,8.3,5.779166666666666,7.9,18,20,0,499,639,0,0,2,1,164.70000000000002,198.42916666666667,81
1985,1984-12-04,5.1,7.9,6.791666666666667,0.0,13,24,3,512,663,0,0,0,0,164.70000000000002,205.22083333333333,84
1985,1984-12-05,6.5,9.7,8.408333333333333,5.1000000000000005,2,24,2,514,687,0,0,2,1,169.8,213.62916666666666,86
1985,1984-12-06,2.4,6.7,4.883333333333334,0.0,24,20,4,538,707,0,0,0,0,169.8,218.5125,90
1985,1984-12-07,4.2,8.5,6.575,0.0,18,24,4,556,731,0,0,0,0,169.8,225.0875,94
1985,1984-12-08,2.6,6.5,4.541666666666667,0.4,24,16,4,580,747,0,0,0,0,170.20000000000002,229.62916666666666,98
1985,1984-12-09,-0.2,5.4,2.9375,0.0,23,9,4,603,756,0,0,0,0,170.20000000000002,232.56666666666666,102
1985,1984-12-10,1.6,6.8,3.908333333333333,0.0,24,12,4,627,768,0,0,0,0,170.20000000000002,236.475,106
1985,1984-12-11,-0.9,3.0,1.0208333333333333,0.0,19,0,2,646,768,0,0,0,0,170.20000000000002,237.49583333333334,108
1985,1984-12-12,0.9,4.3,2.6,0.0,24,6,0,670,774,0,0,0,0,170.20000000000002,240.09583333333333,108
1985,1984-12-13,2.3,5.3,3.8625000000000003,6.6000000000000005,24,14,0,694,788,0,0,2,1,176.8,243.95833333333334,108
1985,1984-12-14,1.2,5.8,3.716666666666667,6.3,24,13,0,718,801,0,0,2,1,183.1,247.675,108
1985,1984-12-15,0.9,4.4,2.1750000000000003,3.6,24,4,2,742,805,0,0,1,1,186.70000000000002,249.85,110
1985,1984-12-16,0.2,4.1,1.9875,0.6,24,3,2,766,808,0,0,0,0,187.3,251.8375,112
1985,1984-12-17,0.2,5.9,2.4458333333333333,2.6,24,7,0,790,815,0,0,1,1,189.9,254.28333333333333,112
1985,1984-12-18,-1.4,3.5,1.3458333333333332,2.2,14,1,1,804,816,0,0,1,1,192.1,255.62916666666666,113
1985,1984-12-19,4.2,8.5,6.791666666666667,6.1,13,24,4,817,840,0,0,2,1,198.20000000000002,262.42083333333335,117
1985,1984-12-20,3.2,8.7,6.9875,0.9,8,23,1,825,863,0,0,0,0,199.1,269.40833333333336,118
1985,1984-12-21,1.8,5.3,3.141666666666667,0.0,24,10,4,849,873,0,0,0,0,199.1,272.55,122
1985,1984-12-22,3.9,9.1,6.441666666666666,2.0,15,24,0,864,897,0,0,1,1,201.1,278.9916666666667,122
1985,1984-12-23,8.3,10.2,9.341666666666667,0.2,0,24,0,864,921,0,0,0,0,201.3,288.3333333333333,122
1985,1984-12-24,0.4,8.1,3.329166666666667,5.5,20,6,3,884,927,0,0,2,1,206.8,291.6625,125
1985,1984-12-25,0.1,6.8,2.779166666666667,2.9,24,9,0,908,936,0,0,1,1,209.70000000000002,294.44166666666666,125
1985,1984-12-26,-2.5,1.8,-0.4958333333333333,2.3,9,0,4,917,936,1,0,1,1,212.0,293.9458333333333,129
1985,1984-12-27,-1.6,1.1,-0.29583333333333334,2.3,11,0,4,928,936,0,0,1,1,214.3,293.65,133
1985,1984-12-28,-1.7,4.1,0.6958333333333333,0.0,12,3,4,940,939,0,0,0,0,214.3,294.34583333333336,137
1985,1984-12-29,-1.2,4.6,1.5999999999999999,5.0,16,5,0,956,944,0,0,2,1,219.3,295.9458333333333,137
